Name,AS,PSR,ACSINS,ELISA,BVP,Outcome
mogamulizumab,0.04,0,-0.5,1.12,2.17,Approved
motavizumab,0.04,0,2.5,1.23,5.36,Terminated
muromonab,0.04,0.18,2.3,1.41,3.94,Approved
natalizumab,0.02,0,0.8,1.06,1.52,Approved
necitumumab,0.02,0,1.3,1.05,1.31,Approved
nimotuzumab,0.04,0,-0.6,1.32,3.42,Approved
nivolumab,0.03,0.14,2.4,1.15,1.32,Approved
obinutuzumab,0.01,0.11,1.8,0.95,1.63,Approved
ocrelizumab,0.02,0,17.9,1.13,1.67,Approved
ofatumumab,0.03,0,1.2,1.12,1.18,Approved
olaratumab,0.29,0.48,0.3,1.32,2.58,Approved
omalizumab,0.05,0,-0.4,1.12,1.17,Approved
onartuzumab,0.04,0,0,1.12,1.19,Terminated
otlertuzumab,0.07,0,2.3,1.17,1.78,Terminated
ozanezumab,0.06,0.77,27.7,2.03,4.45,Terminated
palivizumab,0.04,0,-0.9,1.12,2.88,Approved
panitumumab,0.04,0,-1.1,1.06,1.18,Approved
parsatuzumab,0.09,0.13,7.4,10.05,17.4,Terminated
patritumab,0.05,0.52,13.1,2.35,4.35,Terminated
pembrolizumab,0.03,0.3,5.6,1.28,2.23,Approved
pertuzumab,0.04,0,-0.2,1.21,1.69,Approved
pinatuzumab,0.07,0.01,0.6,1.27,2.49,Terminated
polatuzumab,0.06,0,-1,1.36,3.62,Approved
ponezumab,0.16,0.07,-0.2,3.13,6.62,Terminated
radretumab,0,0.13,3.4,1.26,3.29,Terminated
ramucirumab,0.02,0,0,1.05,1.25,Approved
ranibizumab,0.09,0,7.9,1.61,3.14,Approved
reslizumab,0.06,0.23,1.7,1.25,2.02,Approved
rilotumumab,1.27,0.16,2.1,1.13,2.37,Terminated
rituximab,0.03,0.38,2.1,1.19,2.93,Approved
robatumumab,0.05,0.27,29.6,5.22,8.25,Terminated
romosozumab,0.03,0,-1,1.01,1.47,Approved
sarilumab,0.05,0,1.1,1.19,2.17,Approved
secukinumab,0.05,0,-0.6,1.09,1.69,Approved
sifalimumab,0.01,0.06,2.1,2.6,2.5,Terminated
siltuximab,0.01,0,2.6,1.18,1.55,Approved
simtuzumab,0.14,0.34,0.9,6.01,10.41,Terminated
sirukumab,0.04,0.36,29.6,2.17,9.66,Terminated
tabalumab,0.06,0,2,1.26,3.68,Terminated
tanezumab,0.02,0.23,2.2,1.4,4.83,Terminated
teplizumab,0.06,0.31,11.2,1.67,3.84,Approved
tigatuzumab,0,0.13,5.5,1.17,1.7,Terminated
tildrakizumab,-0.01,0,0.8,1.19,1.77,Approved
tocilizumab,0.05,0,1.3,1.14,2.81,Approved
tovetumab,0.01,0,2.2,1.35,2.95,Terminated
tralokinumab,0.01,0.16,4.8,1.29,2.32,Approved
trastuzumab,0.04,0,2,1.06,1.34,Approved
tremelimumab,0.02,0.15,29.6,1.21,1.97,Approved
ustekinumab,0.02,0.15,0.4,2.18,5.07,Approved
vedolizumab,0.07,0,0.4,1.15,1.58,Approved
veltuzumab,0.04,0,4.8,0.89,1.21,Terminated
visilizumab,0.06,0.42,22,1.88,4.8,Terminated
zalutumumab,0.05,0,-0.8,1.28,2.9,Terminated
zanolimumab,0.03,0.13,1.5,1.1,1.46,Terminated
